orig_feature,replace_feature,segment_feature
cc_abdominalcramping,abdominalcramping,abdominal cramping
cc_abdominaldistention,abdominaldistention,abdominal distention
cc_abdominalpain,abdominalpain,abdominal pain
cc_abdominalpainpregnant,abdominalpainpregnant,abdominal pain pregnant
cc_abnormallab,abnormallab,abnormal lab
cc_abscess,abscess,abscess
cc_addictionproblem,addictionproblem,addiction problem
cc_agitation,agitation,agitation
cc_alcoholintoxication,alcoholintoxication,alcohol intoxication
cc_alcoholproblem,alcoholproblem,alcohol problem
cc_allergicreaction,allergicreaction,allergic reaction
cc_alteredmentalstatus,alteredmentalstatus,altered mental status
cc_animalbite,animalbite,animal bite
cc_ankleinjury,ankleinjury,ankle injury
cc_anklepain,anklepain,ankle pain
cc_anxiety,anxiety,anxiety
cc_arminjury,arminjury,arm injury
cc_armpain,armpain,arm pain
cc_armswelling,armswelling,arm swelling
cc_assaultvictim,assaultvictim,assault victim
cc_asthma,asthma,asthma
cc_backpain,backpain,back pain
cc_bleeding/bruising,bleeding/bruising,bleeding or bruising
cc_blurredvision,blurredvision,blurred vision
cc_bodyfluidexposure,bodyfluidexposure,body fluid exposure
cc_breastpain,breastpain,breast pain
cc_breathingdifficulty,breathingdifficulty,breathing difficulty
cc_breathingproblem,breathingproblem,breathing problem
cc_burn,burn,burn
cc_cardiacarrest,cardiacarrest,cardiac arrest
cc_cellulitis,cellulitis,cellulitis
cc_chestpain,chestpain,chest pain
cc_chesttightness,chesttightness,chest tightness
cc_chills,chills,chills
cc_coldlikesymptoms,coldlikesymptoms,cold like symptoms
cc_confusion,confusion,confusion
cc_conjunctivitis,conjunctivitis,conjunctivitis
cc_constipation,constipation,constipation
cc_cough,cough,cough
cc_cyst,cyst,cyst
cc_decreasedbloodsugar-symptomatic,decreasedbloodsugar-symptomatic,decreased blood sugar symptomatic
cc_dehydration,dehydration,dehydration
cc_dentalpain,dentalpain,dental pain
cc_depression,depression,depression
cc_detoxevaluation,detoxevaluation,detox evaluation
cc_diarrhea,diarrhea,diarrhea
cc_dizziness,dizziness,dizziness
cc_drug/alcoholassessment,drug/alcoholassessment,drug alcohol assessment
cc_drugproblem,drugproblem,drug problem
cc_dyspnea,dyspnea,dyspnoea
