Feature Removed,New AUC,AUC Difference
None,0.8616,0.0000
cc_influenza,0.8594,0.0022
cc_abdominalpainpregnant,0.8597,0.0019
cc_chesttightness,0.8597,0.0019
cc_blurredvision,0.8597,0.0019
cc_wheezing,0.8597,0.0019
cc_seizures,0.8597,0.0019
cc_abdominalcramping,0.8597,0.0019
cc_pain,0.8597,0.0019
cc_ingestion,0.8597,0.0019
lang,0.8598,0.0018
cc_rectalbleeding,0.8598,0.0018
cc_jointswelling,0.8598,0.0018
cc_woundre-evaluation,0.8598,0.0018
cc_chills,0.8598,0.0018
cc_exposuretostd,0.8599,0.0017
cc_breathingproblem,0.8598,0.0017
cc_generalizedbodyaches,0.8597,0.0018
cc_overdose-accidental,0.8597,0.0018
ethnicity,0.8594,0.0022
cc_pelvicpain,0.8594,0.0022
cc_oralswelling,0.8594,0.0022
cc_hyperglycemia,0.8594,0.0022
cc_footswelling,0.8593,0.0023
n_surgeries,0.8592,0.0024
cc_asthma,0.8592,0.0024
religion,0.8595,0.0020
cc_skinproblem,0.8595,0.0021
cc_medicalscreening,0.8595,0.0021
cc_rectalpain,0.8595,0.0021
cc_testiclepain,0.8594,0.0022
cc_vaginalbleeding,0.8592,0.0024
cc_mass,0.8592,0.0024
cc_rapidheartrate,0.8591,0.0025
cc_vaginalpain,0.8592,0.0024
cc_diarrhea,0.8591,0.0025
cc_cellulitis,0.8592,0.0024
cc_headache-newonsetornewsymptoms,0.8596,0.0020
cc_detoxevaluation,0.8596,0.0020
cc_facialswelling,0.8590,0.0025
maritalstatus,0.8594,0.0022
cc_palpitations,0.8592,0.0024
cc_hematuria,0.8593,0.0023
triage_vital_rr,0.8587,0.0028
triage_vital_sbp,0.8582,0.0034
cc_breastpain,0.8583,0.0033
cc_fever,0.8583,0.0033
cc_fingerswelling,0.8583,0.0033
race,0.8581,0.0035
cc_agitation,0.8583,0.0033
triage_vital_o2,0.8580,0.0036
cc_headache,0.8579,0.0037
cc_headachere-evaluation,0.8579,0.0036
cc_eyeinjury,0.8577,0.0038
cc_swallowedforeignbody,0.8579,0.0037
cc_facialinjury,0.8580,0.0036
cc_elevatedbloodsugar-nosymptoms,0.8578,0.0038
cc_other,0.8575,0.0041
cc_femaleguproblem,0.8575,0.0041
cc_abscess,0.8575,0.0040
triage_vital_dbp,0.8560,0.0056
cc_elbowpain,0.8561,0.0054
cc_urinaryfrequency,0.8560,0.0056
cc_motorcyclecrash,0.8560,0.0056
cc_addictionproblem,0.8560,0.0056
cc_nausea,0.8558,0.0058
cc_homicidal,0.8559,0.0057
